index        real(x)        imag(x)        real(y)        imag(y)          error
378       0.954429       0.298437        0.95549       0.295023     0.00357566
379       0.823605       0.567164        0.82574       0.564051     0.00377406
380       0.619209       0.785226       0.622228       0.782836     0.00385029
381         0.3595       0.933145       0.363048       0.931771     0.00380454
382      0.0676773       0.997707      0.0714269       0.997446     0.00375878
383      -0.230191       0.973145      -0.226457       0.974021     0.00383508
384      -0.507497       0.861654      -0.504123       0.863632     0.00391136
385      -0.739468       0.673191      -0.737025       0.675865     0.00362144
386      -0.905384       0.424594      -0.903912       0.427718     0.00345362
387      -0.990423       0.138068      -0.989929       0.141563     0.00352988
388      -0.986988      -0.160792      -0.987543      -0.157352     0.00348412
389      -0.895387      -0.445288      -0.896913      -0.442207     0.00343836
390      -0.723802      -0.690007      -0.726307       -0.68737     0.00363673
391      -0.487561      -0.873089      -0.490693      -0.871332     0.00359095
392      -0.207767      -0.978178      -0.211233      -0.977436     0.00354516
393      0.0905875      -0.995888      0.0869804       -0.99621     0.00362145
394        0.38085      -0.924637       0.377428      -0.926039     0.00369773
395       0.637091      -0.770789       0.634366      -0.773033     0.00352991
396       0.836421      -0.548087       0.834439        -0.5511     0.00360618
397       0.961035      -0.276425       0.960045      -0.279845     0.00356043
398       0.999801      0.0199295       0.999869      0.0161713     0.00375878
399       0.949256       0.314504       0.950417       0.310977     0.00371299
